NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6749,0.6016322,0.5517,3.71,7.26,0.002543641,0.02752947,1117.6091,2519.77,0.745,0.455,72.56,0.39,0.045,1.238
6750,0.1356843,2.1687,7.56,3.5,0.002582445,0.02752947,3156.8318,2521.1399,0.849,0.68,45.91,0.2,0.04,0.88
6751,0.5992482,0.556,6.87,3.5,0.002542903,0.02752947,3240.2139,2518.6072,0.748,0.454,-17.52,0.393,0.048,1.395
6752,5.556269,-1.862,6.66,7.92,0.002879092,0.02752947,2157.7512,2555.6848,2.602,1.49,-65.98,0.427,0,4.838
6753,0.792192,0.2529,3.5,6.6,0.002791135,0.02752947,3781.9985,2522.3035,0.739,0.675,5.2,0.086,0.005,1.426
6754,0.4631611,0.8357,7.71,7.26,0.002995582,0.02752947,667.4021,2521.7598,0.748,0.453,-71.52,0.395,0.005,1.105
6755,0.5597321,0.63,3.5,7.26,0.002700883,0.02752947,922.3536,2519.3953,1.008,0.486,3.5,0.518,0.033,1.533
6756,2.227864,-0.8697,3.5,4.62,0.003836186,0.02752947,177.0013,2544.2214,1.797,1.371,-13.74,0.237,0.001,2.42
6757,1.556996,-0.4807,3.5,3.5,0.003807634,0.02752947,194.9642,2531.9277,2.067,1.124,29.87,0.456,0.006,2.389
6758,1.051407,-0.0544,3.5,7.26,0.002988998,0.02752947,2274.386,2526.2034,1.46,0.614,26.43,0.579,0.471,1.911
6759,2.492267,-0.9915,7.08,3.5,0.002674687,0.02752947,935.86,2534.7974,1.454,1.296,76.21,0.108,0,3.044
6760,0.6619087,0.448,3.5,4.62,0.002467655,0.02752947,1419.3199,2527.1833,1.113,0.699,-50.36,0.372,0.011,1.597
6761,1.393391,-0.3602,4.47,6.6,0.003246004,0.02752947,515.5013,2535.0007,1.61,0.996,75.42,0.381,0.003,2.391
6762,20.01078,-3.2532,5.13,5.28,0.002696843,0.02752947,2998.9534,2597.8525,3.734,2.743,-54.28,0.265,0.001,4.895
6763,3.108865,-1.2315,4.67,3.5,0.00261988,0.02752947,3491.156,2541.9556,1.914,1.569,78.07,0.181,0,3.088
6764,0.6104847,0.5358,4.76,6.6,0.003032559,0.02752947,645.1744,2523.3718,0.769,0.442,18.13,0.426,0.027,1.382
6765,1.433913,-0.3913,3.5,5.28,0.002961871,0.02752947,2397.5349,2528.4548,1.814,0.818,-19.73,0.549,0.008,2.442
6766,89.57909,-4.8805,3.7,5.94,0.002707296,0.02752947,3549.9744,2625.291,6.224,4.886,-23.57,0.215,0.017,6.098
6767,216.0472,-5.8364,3.64,5.94,0.00253396,0.02752947,920.1315,2694.3635,7.031,6.195,79.27,0.119,0.029,6.757
6768,0.7576984,0.3013,3.5,3.5,0.002649666,0.02752947,973.9731,2529.5081,0.843,0.695,-89.25,0.176,0.018,1.554
6769,9.684958,-2.4652,5.98,6.6,0.003544309,0.02752947,338.8836,2557.1414,3.391,2.407,67.91,0.29,0,7.116
6770,12.88606,-2.7753,6.6,5.94,0.002935066,0.02752947,2420.5752,2550.7112,4.901,2.022,-21.56,0.587,0,9.684
6771,4.639697,-1.6662,5.94,3.5,0.002641458,0.02752947,3067.2388,2551.0776,2.326,1.488,42.14,0.36,0,4.797
