NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1149,3.57832,-1.3842,3.5,7.92,0.002889412,0.02568904,4038.4167,396.591,2.696,1.608,76.46,0.404,0,4.097
1150,0.9299961,0.0788,5.35,5.94,0.003019821,0.02568904,3487.4529,372.5024,1.075,0.5,0.13,0.535,0.019,1.778
1151,1.331882,-0.3112,3.5,3.5,0.002796157,0.02568904,1312.9617,387.7621,2.366,0.853,61.23,0.639,0.009,2.287
1152,2.195106,-0.8536,8.05,5.94,0.002949637,0.02568904,3118.4302,381.054,1.482,0.643,56.83,0.566,0.006,4.996
1153,0.6913728,0.4007,3.5,4.62,0.002794755,0.02568904,1435.4938,376.1149,0.89,0.674,-37.95,0.243,0.237,1.216
1154,0.6847805,0.4111,6.19,7.92,0.002796914,0.02568904,2428.3438,373.5758,1.037,0.47,9.54,0.547,0.548,1.713
1155,6.151114,-1.9724,5.07,7.26,0.003019821,0.02568904,3568.7986,420.9037,3.351,2.751,-7.95,0.179,0,5.03
1156,5.202465,-1.7905,4,3.5,0.002791945,0.02568904,2364.8818,402.292,2.882,2.209,-45.6,0.233,0,4.197
1157,2.272005,-0.891,3.89,5.94,0.002777348,0.02568904,863.0802,386.4925,1.764,1.444,0.77,0.181,0,2.683
1158,2.39633,-0.9489,4.44,3.5,0.002790985,0.02568904,2370.9341,387.3295,1.957,1.747,-23.79,0.108,0,2.719
1159,6.842153,-2.088,3.5,5.94,0.003013318,0.02568904,3309.2354,397.9992,3.228,2.473,15.93,0.234,0,4.482
1160,3.130403,-1.239,3.5,4.62,0.002804989,0.02568904,1759.8979,393.0015,2.568,1.888,17.05,0.265,0,3.174
1161,4.801974,-1.7035,3.5,6.6,0.002534325,0.02568904,402.4971,393.466,2.212,1.836,-70.13,0.17,0,2.951
1162,5.617647,-1.8739,3.77,5.28,0.003019821,0.02568904,3370.6792,397.5489,2.471,2.145,-51.73,0.132,0,2.863
1163,1.142288,-0.1444,6.28,5.94,0.002790068,0.02568904,1214.8608,377.9141,1.336,0.649,-18.1,0.514,0.012,2.017
1164,22.09446,-3.3607,3.5,5.28,0.002810659,0.02568904,1595.1403,422.8553,3.748,3.253,67.02,0.132,0.001,4.38
1165,17.28272,-3.094,3.5,5.28,0.002821042,0.02568904,2562.9797,413.1095,4.511,2.621,1.74,0.419,0,4.657
1166,126.823,-5.258,3.5,5.28,0.002790401,0.02568904,2305.0515,467.3858,6.381,5.485,-78.04,0.14,0.001,7.083
1167,10.23522,-2.5252,5.25,5.28,0.002815776,0.02568904,2519.6208,417.7006,3.222,2.615,75.06,0.188,0,5.182
1168,10.6731,-2.5707,3.5,5.94,0.002805751,0.02568904,1422.5637,414.6333,3.098,2.484,-86.18,0.198,0,3.598
1169,0.8002035,0.242,5.3,3.5,0.003019821,0.02568904,3392.3154,379.6927,1.237,0.622,-0.54,0.497,0.005,1.739
1170,0.6677196,0.4385,3.5,5.94,0.002795032,0.02568904,1383.7668,380.0043,0.804,0.496,-31.85,0.384,0.069,1.218
1171,6.703203,-2.0657,5.41,5.28,0.002653324,0.02568904,577.0454,403.1995,2.369,2.004,-3.33,0.154,0,3.427
1172,4.143867,-1.5435,3.5,5.94,0.002846478,0.02568904,2770.2732,396.2314,2.193,1.789,-88.29,0.184,0.001,2.964
1173,2.189569,-0.8509,3.5,5.28,0.002785266,0.02568904,2259.2429,396.5006,1.938,1.748,86.39,0.098,0,2.931
1174,0.9589368,0.0455,5.95,9.9,0.002836436,0.02568904,2714.0796,383.5388,1.056,0.725,85.87,0.314,0.031,2.159
1175,15.97892,-3.0089,5.06,5.28,0.002784655,0.02568904,894.3167,421.831,3.373,2.727,89.24,0.192,0,4.62
1176,16.49704,-3.0435,3.73,5.94,0.003019821,0.02568904,3328.6111,429.764,4.722,2.952,-89.23,0.375,0,5.543
1177,11.25865,-2.6287,4.09,6.6,0.003019821,0.02568904,3387.1216,421.0451,4.548,2.772,51.68,0.391,0,6.129
1178,7.20119,-2.1435,3.5,6.6,0.002634069,0.02568904,540.6224,409.6112,2.998,2.551,2.14,0.149,0,3.85
1179,1.758735,-0.613,3.5,5.28,0.003016216,0.02568904,3318.2551,392.3654,2.187,1.066,48.27,0.513,0,2.844
1180,1.045777,-0.0486,5.86,3.5,0.00282125,0.02568904,2598.5388,384.8476,1.055,0.896,-13.23,0.151,0.044,1.734
