NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3317,7.137499,-2.1339,7.17,10.56,0.001844078,0.07602261,589.6496,2941.9973,1.408,1.272,-33.03,0.096,0,3.863
3318,6.352681,-2.0074,8.3,9.24,0.001760795,0.07602261,530.0612,2942.6074,1.916,0.53,-66.75,0.723,0,4.424
3319,5.81382,-1.9112,7.32,10.56,0.001559559,0.07602261,2832.3181,2941.4529,1.598,1.024,-22.65,0.359,0,3.332
3320,10.98883,-2.6024,5.47,9.9,0.001276886,0.07602261,3651.2769,2947.344,2.051,1.689,7.55,0.177,0,3.598
3321,4.909024,-1.7275,7.42,7.26,-8.768418e-05,0.07602261,2937.8948,2939.7268,1.494,0.742,19.13,0.503,0.001,3.257
3322,5.295289,-1.8097,7.99,10.56,0.0026939,0.07602261,167.5417,2948.7854,1.205,0.857,7.93,0.289,0,4.076
3323,2.779,-1.1097,7.74,3.5,0.002569619,0.07602261,2229.2031,2940.3696,1.203,0.485,47.31,0.597,0,2.513
3324,2.455906,-0.9755,6.33,7.92,0.001873684,0.07602261,635.3001,2940.5042,1.134,0.665,52.69,0.414,0,2.028
3325,6.808789,-2.0827,7.58,10.56,0.004331141,0.07602261,4016.6272,2943.0981,1.344,1.044,3.87,0.223,0,4.025
3326,12.96875,-2.7822,6.01,9.9,0.004023759,0.07602261,1746.0881,2958.2776,2.202,1.847,-85.19,0.161,0,4.472
3327,202.2056,-5.7645,3.78,5.94,0.007460395,0.07602261,928.5577,3019.75,6.754,4.891,73.43,0.276,0,7.865
3328,145.0147,-5.4035,3.98,5.94,0.002476413,0.07602261,709.1857,2992.3572,4.873,4.345,4.78,0.108,0,6.172
3329,4.929558,-1.732,7.45,10.56,0.002074644,0.07602261,2278.9221,2939.2595,1.518,0.678,-0.62,0.554,0,3.347
3330,14.37465,-2.894,6.62,10.56,0.00539056,0.07602261,3256.4719,2956.3213,2.582,1.65,-50.84,0.361,0,5.623
3331,7.76791,-2.2258,4.99,7.92,0.001666486,0.07602261,1311.9972,2957.2861,2.226,1.339,71.27,0.398,0,3.508
3332,3.09732,-1.2275,7.75,10.56,0.0001842302,0.07602261,3016.7654,2942.9346,1.416,0.48,-46.52,0.661,0.001,2.691
3333,5.795573,-1.9077,6.32,9.9,0.005370678,0.07602261,3271.7856,2948.1294,1.622,1.123,-51.3,0.308,0,3.271
3334,26.72763,-3.5674,4.33,5.94,0.002092579,0.07602261,295.1243,2971.3582,3.019,2.642,81.31,0.125,0,4.357
3335,7.806686,-2.2312,7.26,6.6,0.001913661,0.07602261,2827.2351,2956.0393,1.62,1.202,-41.42,0.258,0,3.643
3336,14.58707,-2.9099,5.34,8.58,0.003321195,0.07602261,2603.0249,2960.47,2.308,2.163,-27.49,0.063,0,4.415
3337,21.62017,-3.3371,5.73,5.94,0.00302664,0.07602261,1986.1306,2966.5791,2.192,2.067,50.58,0.057,0,3.912
3338,6.793813,-2.0803,6.13,9.9,0.003049002,0.07602261,124.4154,2956.0129,1.67,1.182,61.86,0.292,0,3.047
3339,6.675637,-2.0612,8.25,10.56,0.003417668,0.07602261,3184.645,2951.7092,1.369,0.637,59.07,0.535,0,4.292
3340,13.25505,-2.806,6.59,10.56,0.003440455,0.07602261,1205.663,2961.8914,1.983,1.818,37.66,0.083,0,5.122
3341,3.189437,-1.2593,8.88,8.58,0.002654542,0.07602261,2205.7864,2944.3738,0.746,0.449,-17.66,0.398,0,2.99
3342,7.135107,-2.1335,9.23,10.56,0.001760795,0.07602261,533.4609,2950.5889,1.409,0.651,2.83,0.538,0,4.607
3343,4.14555,-1.544,7.58,7.92,0.00481238,0.07602261,1852.774,2952.5227,1.009,0.738,86.89,0.269,0,3.488
3344,192.991,-5.7138,3.96,5.94,0.002016425,0.07602261,1272.3759,3027.855,6.202,5.129,-1.55,0.173,0,7.392
3345,17.90612,-3.1325,5.33,7.92,0.003692485,0.07602261,2798.5381,2978.1416,3.201,1.897,-67.23,0.407,0,5.08
3346,33.10271,-3.7997,3.77,5.94,0.004100211,0.07602261,1911.3621,2981.0361,2.989,2.671,85.28,0.106,0,4.1
3347,7.020208,-2.1159,6.22,9.24,0.002672553,0.07602261,2562.0271,2960.5713,1.631,1.301,-17.75,0.202,0,3.275
3348,13.31234,-2.8106,7.66,10.56,0.002335561,0.07602261,718.4271,2965.02,2.039,1.239,-62.88,0.392,0,5.852
3349,91.08107,-4.8986,4.28,7.26,0.00456308,0.07602261,2755.0532,2996.5872,6.09,3.764,20.96,0.382,0,7.716
3350,11.06061,-2.6094,5.18,7.26,0.002026545,0.07602261,3460.5752,2967.7546,1.903,1.582,37.47,0.169,0,3.333
3351,54.19662,-4.3349,4.19,7.26,0.002549259,0.07602261,344.9337,3006.584,5.106,3.273,-76.34,0.359,0,6.598
3352,6.968847,-2.1079,4.63,9.24,0.007123114,0.07602261,941.098,2969.7651,1.875,1.368,-57.14,0.27,0,3.065
3353,89.0648,-4.8743,4.46,7.26,0.003483249,0.07602261,1729.3185,3024.5073,5.428,3.959,54.39,0.271,0,7.054
3354,8.110101,-2.2726,6.33,9.24,0.003808465,0.07602261,1726.9791,2974.7944,2.027,1.393,55.56,0.313,0,4.146
3355,11.28935,-2.6317,7.96,10.56,0.003963267,0.07602261,1736.1312,2968.553,1.597,1.083,44.44,0.321,0,5.622
3356,10.37893,-2.5404,3.85,7.92,0.005840315,0.07602261,1010.712,2977.7314,1.927,1.672,-83.4,0.132,0,3.043
