NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1149,3731.1079,1632.6385,2.452496,26.026,1.094,0.564,6.5,4.62,1.942,0.485,56.95,0.0008008189,0.08148756,7,0
1150,3019.9895,1633.2842,6.678373,24.9383,1.231,0.753,8.27,10.56,4.032,0.388,-13.93,7.333879e-05,0.08148756,8,0
1151,3659.0564,1811.575,259.9202,20.9629,6.234,4.46,4.48,6.6,6.854,0.285,20,-0.0005081818,0.08148756,579,0.001
1152,467.509,1636.1692,4.970956,25.2589,0.839,0.824,8.34,10.56,3.563,0.018,-42.75,-0.0004560662,0.08148756,5,0
1153,999.0586,1646.693,8.639496,24.6588,1.667,1.324,7.28,10.56,3.999,0.205,51.43,-0.001423589,0.08148756,23,0
1154,730.5309,1642.0746,4.31038,25.4137,1.389,0.834,6.97,5.28,2.906,0.4,36.87,0.0001331204,0.08148756,11,0.001
1155,1153.3933,1654.1235,19.05258,23.8001,2.162,1.566,7.5,10.56,6.462,0.276,-15.54,0.0008881305,0.08148756,33,0
1156,1748.8325,1783.2965,223.1004,21.1287,4.955,4.581,4.61,6.6,6.251,0.075,24.63,0.0005105905,0.08148756,488,0.001
1157,2990.4265,1653.0762,9.52378,24.553,1.782,1.318,6.78,10.56,3.615,0.26,-28.7,0.00024202,0.08148756,26,0
1158,1251.0856,1678.6023,47.11166,22.8172,3.029,2.838,5.09,7.26,4.797,0.063,-57.46,0.001356558,0.08148756,137,0
1159,406.4641,1652.8384,11.49028,24.3492,2.068,1.114,7.27,7.92,4.815,0.462,-6.72,0.0004366134,0.08148756,23,0
1160,2146.0005,1668.8115,24.63975,23.5209,3.25,2.056,6.01,10.56,5.645,0.368,-20.02,0.0006001963,0.08148756,70,0
1161,3368.8784,1651.3286,5.139364,25.2227,1.456,0.638,8.85,3.5,3.591,0.562,-41.1,-0.0005805243,0.08148756,6,0
1162,1581.1653,1666.9044,22.91513,23.5997,2.557,2.175,5.48,7.92,4.348,0.149,8.48,0.0001784359,0.08148756,75,0
1163,2246.5215,1678.3129,20.67852,23.7112,3.222,1.898,6.48,10.56,5.851,0.411,78.45,0.0006205416,0.08148756,59,0
1164,591.2043,1676.0831,32.20609,23.2302,2.74,2.419,5.96,10.56,5.332,0.117,-8.78,-0.0006703945,0.08148756,91,0
1165,3729.7495,1670.2777,28.27925,23.3713,2.654,2.155,6.37,9.9,5.748,0.188,-22.4,-7.44182e-05,0.08148756,75,0
